latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.67500,-3.92500,Madrid,0,0.00140,257.00000,0.02110,1070.00000,0.03050,1420.00000,0.03730,1671.00000,-11.03000,0.26700,-10.56800,0.55300,-10.99400,0.17900,-11.07400,0.37300,-10.63100,0.32000,-10.70200,0.39500,-10.65000,0.55900,-10.47700,0.35900,-12.86200,0.31900,-12.79200,0.22000,-12.71200,0.24600,-12.70300,0.27100,-12.63500,0.25900,-12.57400,0.26700,-12.49700,0.23200,-12.50200,0.21200,-12.30600,0.35000,-12.42400,0.26700,-12.42600,0.24000,-10.23200,0.28400,-10.23600,0.20300,-10.31100,0.20400,-10.19500,0.28200,-10.20200,0.18000,-10.15600,0.25500,-10.15400,0.25200,-10.19100,0.19600,-10.27900,0.23400,-10.17300,0.28700,-10.11600,0.25400,-9.99800,0.30200,-10.01600,0.34100,-9.91200,0.37000,0,0.00790,2.30460,0.56850,23471884,10.61000,4.01000
40.67500,-3.87500,Madrid,0,0.00000,0.00000,0.00030,19.00000,0.00060,26.00000,0.00080,22.00000,-10.94800,0.27500,-10.47500,0.52100,-10.85900,0.17300,-10.96900,0.39300,-10.51500,0.31900,-10.56600,0.40100,-10.52300,0.59700,-10.33100,0.37800,-12.84600,0.31700,-12.77500,0.24900,-12.70700,0.24800,-12.68100,0.26500,-12.60700,0.28700,-12.51600,0.26700,-12.42900,0.25600,-12.37500,0.22400,-12.23200,0.33200,-12.28200,0.30000,-12.32800,0.23800,-10.44500,0.33500,-10.38300,0.25600,-10.49900,0.21400,-10.32500,0.28700,-10.40400,0.21700,-10.32300,0.27100,-10.30700,0.23800,-10.40000,0.18500,-10.48500,0.23100,-10.34100,0.25300,-10.25800,0.28100,-10.15500,0.38500,-10.16000,0.36900,-10.04800,0.37700,0,0.00150,1.49060,0.08630,23471884,12.15000,4.00000
40.67500,-3.82500,Madrid,0,0.00180,0.00000,0.01590,99.00000,0.02460,171.00000,0.03520,151.00000,-10.83700,0.27700,-10.46900,0.31900,-10.70400,0.17200,-10.85700,0.38600,-10.40100,0.25800,-10.38400,0.31400,-10.43700,0.72900,-10.18700,0.41500,-12.77000,0.30200,-12.66600,0.27000,-12.60500,0.26900,-12.56200,0.27400,-12.48500,0.30500,-12.36300,0.27800,-12.24000,0.25800,-12.14200,0.23700,-12.03300,0.29600,-12.02800,0.31100,-12.09500,0.24800,-10.59900,0.36400,-10.54600,0.27700,-10.65600,0.23400,-10.49300,0.31600,-10.57700,0.22200,-10.53200,0.32100,-10.45400,0.25900,-10.56400,0.21100,-10.63800,0.25500,-10.48700,0.25600,-10.43900,0.29800,-10.22300,0.47500,-10.35200,0.42600,-10.21000,0.39300,0,0.00280,3.26060,0.16340,23471884,7.78000,2.76000
40.67500,-3.77500,Madrid,1,0.03190,22734.00000,0.12340,26539.00000,0.16140,27005.00000,0.18970,31062.00000,-10.78500,0.28500,-10.41300,0.30100,-10.62000,0.16600,-10.78600,0.39700,-10.32900,0.25600,-10.30000,0.32000,-10.35600,0.76200,-10.09700,0.43200,-12.75200,0.30500,-12.59600,0.28400,-12.53400,0.28000,-12.49100,0.29100,-12.40400,0.32900,-12.26800,0.29400,-12.12700,0.26600,-12.00800,0.26400,-11.91400,0.28400,-11.87300,0.32100,-11.95600,0.23800,-10.74600,0.36700,-10.70000,0.27100,-10.83400,0.22600,-10.66100,0.30200,-10.71600,0.21500,-10.67100,0.33800,-10.61500,0.24700,-10.75600,0.20900,-10.81700,0.26100,-10.65800,0.27900,-10.61600,0.30200,-10.33500,0.51000,-10.51000,0.43100,-10.33900,0.41500,0,0.04440,6.88050,4.45150,23471884,3.30000,1.44000
40.67500,-3.72500,Madrid,1,0.01380,2886.00000,0.04930,2324.00000,0.06700,3001.00000,0.07820,3439.00000,-10.79700,0.27700,-10.46300,0.28200,-10.63900,0.17300,-10.81600,0.38000,-10.34900,0.23200,-10.31000,0.32400,-10.38700,0.79100,-10.12500,0.42000,-12.68200,0.30800,-12.46900,0.29200,-12.38200,0.28600,-12.34800,0.31300,-12.25200,0.35100,-12.09800,0.30700,-11.93700,0.26600,-11.81500,0.29300,-11.71900,0.27200,-11.63500,0.32100,-11.73600,0.23400,-10.84800,0.36300,-10.81800,0.25100,-10.97600,0.22200,-10.79400,0.28800,-10.80900,0.20900,-10.75600,0.35000,-10.74300,0.23500,-10.89400,0.21800,-10.93700,0.26800,-10.78100,0.31200,-10.75100,0.30500,-10.40900,0.53000,-10.63300,0.43900,-10.44300,0.42900,0,0.00570,4.01360,0.49300,23471884,5.00000,1.82000
40.67500,-3.67500,Madrid,0,0.00010,0.00000,0.00040,80.00000,0.00130,123.00000,0.00200,164.00000,-10.75500,0.26800,-10.51300,0.25800,-10.59300,0.18400,-10.80600,0.36500,-10.31300,0.18300,-10.25800,0.34200,-10.33900,0.89800,-10.10400,0.41800,-12.59800,0.29100,-12.31600,0.30100,-12.16100,0.28600,-12.17300,0.33700,-12.06200,0.36200,-11.88100,0.31200,-11.71800,0.26000,-11.60900,0.32200,-11.46200,0.27200,-11.37600,0.30700,-11.48800,0.24700,-10.93200,0.34300,-10.91500,0.23000,-11.05500,0.21600,-10.87900,0.28900,-10.88400,0.19800,-10.84000,0.35100,-10.85700,0.22400,-11.01000,0.20900,-11.05900,0.24700,-10.88800,0.31200,-10.86400,0.29400,-10.53900,0.47300,-10.69800,0.45400,-10.58400,0.42500,0,0.00110,1.20200,0.06530,23471884,6.74000,2.47000
40.67500,-3.62500,Madrid,1,0.01010,8008.00000,0.04850,9129.00000,0.07240,9482.00000,0.09290,11737.00000,-10.65400,0.27600,-10.43500,0.27400,-10.46300,0.18100,-10.70500,0.39500,-10.19800,0.18100,-10.14400,0.36200,-10.18800,0.96100,-9.98200,0.44800,-12.69200,0.32100,-12.36900,0.33100,-12.14700,0.28200,-12.24600,0.33200,-12.09900,0.36400,-11.93100,0.31300,-11.80200,0.23900,-11.73300,0.36500,-11.54000,0.26900,-11.48400,0.32100,-11.55200,0.23900,-10.89300,0.33100,-10.87300,0.23200,-11.02300,0.22800,-10.86600,0.30800,-10.82500,0.21600,-10.77000,0.38000,-10.83400,0.22300,-10.97300,0.23200,-11.02600,0.25600,-10.83800,0.32900,-10.82000,0.30800,-10.53700,0.41600,-10.59700,0.50600,-10.59400,0.50800,0,0.02000,5.32580,1.76450,23471884,4.99000,2.00000
40.67500,-3.57500,Madrid,1,0.00540,2791.00000,0.02280,2181.00000,0.03710,2914.00000,0.04390,2822.00000,-10.77200,0.26200,-10.64600,0.31400,-10.60600,0.18500,-10.76000,0.65000,-10.26700,0.19900,-10.22600,0.45300,-10.46100,1.05500,-10.16200,0.37300,-12.67500,0.34000,-12.30300,0.31500,-12.03000,0.28900,-12.17100,0.38600,-12.00600,0.37400,-11.87300,0.29900,-11.70100,0.24000,-11.73200,0.36800,-11.48300,0.25100,-11.46000,0.33700,-11.49200,0.25900,-10.64700,0.31800,-10.63000,0.19900,-10.75900,0.28600,-10.67100,0.29200,-10.60000,0.22700,-10.45000,0.43900,-10.60800,0.21400,-10.59500,0.22300,-10.80900,0.20900,-10.54800,0.29000,-10.54200,0.33100,-10.40400,0.42400,-10.36100,0.52500,-10.39500,0.61200,0,0.00670,3.29680,0.43150,23471884,1.72000,1.00000
40.67500,-3.52500,Madrid,1,0.00260,1366.00000,0.03810,3077.00000,0.05030,3144.00000,0.07940,4017.00000,-10.70200,0.27300,-10.58700,0.32000,-10.51700,0.17800,-10.68500,0.65500,-10.18100,0.19600,-10.14800,0.45300,-10.37200,1.07800,-10.08000,0.39300,-12.70100,0.35100,-12.33000,0.30900,-12.02800,0.30000,-12.20100,0.39300,-12.01600,0.37800,-11.91600,0.28300,-11.73300,0.25500,-11.85600,0.37600,-11.58300,0.26400,-11.56400,0.36700,-11.57300,0.27000,-10.64700,0.31600,-10.66600,0.19800,-10.69000,0.29500,-10.71100,0.31900,-10.62700,0.25400,-10.45300,0.45100,-10.60800,0.22100,-10.58000,0.21300,-10.83600,0.19000,-10.55600,0.31000,-10.49800,0.41200,-10.49500,0.42300,-10.39400,0.52300,-10.46200,0.59900,0,0.01880,4.29140,1.14870,23471884,1.62000,0.86000
40.67500,-3.47500,Madrid,1,0.00540,0.00000,0.02050,238.00000,0.04700,1052.00000,0.06360,1907.00000,-10.93000,0.22900,-10.87400,0.40300,-10.81400,0.17400,-11.15000,0.34100,-10.37000,0.32300,-10.36000,0.57600,-10.54000,1.05300,-10.39200,0.30500,-12.70800,0.35800,-12.35800,0.29300,-12.08000,0.33100,-12.24900,0.39300,-12.08400,0.38900,-12.01400,0.28600,-11.80800,0.27700,-12.03500,0.39100,-11.70700,0.28200,-11.70300,0.36400,-11.67700,0.28800,-10.68900,0.31400,-10.72000,0.18900,-10.68500,0.27800,-10.76200,0.30700,-10.69300,0.23600,-10.51800,0.43600,-10.64700,0.22100,-10.62400,0.21400,-10.88500,0.20400,-10.60900,0.30500,-10.55000,0.46400,-10.55300,0.39700,-10.47000,0.51600,-10.57800,0.58500,0,0.01040,3.96870,0.56190,23471884,1.10000,0.54000
40.67500,-3.42500,Madrid,1,0.00690,669.00000,0.02130,1795.00000,0.04970,2463.00000,0.06500,4089.00000,-10.86300,0.23000,-10.83000,0.39300,-10.74200,0.17200,-11.09000,0.35900,-10.30400,0.31900,-10.31400,0.56600,-10.47500,1.06100,-10.32800,0.31700,-12.62900,0.34900,-12.31100,0.28000,-12.04600,0.33500,-12.18700,0.39300,-12.02700,0.38200,-11.96600,0.26700,-11.73000,0.27400,-11.99000,0.35600,-11.67100,0.28000,-11.63200,0.35200,-11.59000,0.29700,-10.67300,0.29800,-10.71700,0.18600,-10.64000,0.25500,-10.74200,0.30300,-10.64000,0.22800,-10.47800,0.45500,-10.58800,0.22200,-10.59600,0.19400,-10.89100,0.21800,-10.58600,0.30100,-10.51900,0.49500,-10.52200,0.40100,-10.48200,0.52000,-10.55500,0.56100,0,0.01650,3.01230,1.09080,23471884,4.30000,1.65000
