latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
18.77500,73.62500,Pune,1,0.00060,259.00000,0.00460,3945.00000,0.00830,8176.00000,0.02060,16260.00000,-8.58200,0.19200,-8.34900,0.47100,-8.64700,0.55400,-8.85900,0.39600,-8.69700,0.47100,-8.36900,0.20900,-8.40000,0.44100,-8.73300,0.41400,-10.91000,0.34600,-11.17800,0.34100,-11.04000,0.41000,-11.07800,0.47300,-10.91700,0.33600,-10.98500,0.43700,-10.70500,0.48900,-10.52000,0.41500,-10.62400,0.42400,-10.70400,0.45000,-10.78700,0.41300,-8.39600,0.27800,-8.54200,0.49400,-8.54300,0.42200,-8.45500,0.41100,-8.22800,0.40600,-8.19300,0.37200,-8.09100,0.34400,-8.09900,0.56300,-8.14700,0.45600,-7.81200,0.45500,-7.94700,0.41300,-7.66100,0.72900,-7.46800,0.50600,-7.76200,0.44300,0,-9999,-9999,-9999,29175708,5.65000,2.80000
18.77500,73.67500,Pune,2,0.00150,1502.00000,0.01310,2332.00000,0.02190,5752.00000,0.10450,74316.00000,-8.75400,0.19400,-8.44800,0.49300,-8.80700,0.59400,-8.99800,0.43000,-8.84000,0.48400,-8.48600,0.23600,-8.52600,0.46500,-8.91600,0.40700,-11.09400,0.40300,-11.30500,0.36600,-11.13100,0.42500,-11.21900,0.50200,-11.04600,0.33600,-11.06400,0.52300,-10.70300,0.49300,-10.50000,0.45300,-10.62700,0.45200,-10.65800,0.48800,-10.70600,0.42200,-8.44700,0.35600,-8.51700,0.57700,-8.54800,0.49500,-8.45000,0.51700,-8.12900,0.50300,-8.03900,0.47200,-7.88500,0.46800,-7.86600,0.72600,-7.99000,0.53800,-7.51100,0.56800,-7.54400,0.56800,-7.20600,0.87200,-6.83500,0.66800,-7.14500,0.54400,0,-9999,-9999,-9999,29175708,5.81000,2.63000
18.77500,73.72500,Pune,1,0.00010,0.00000,0.00090,226.00000,0.00260,427.00000,0.02980,9133.00000,-9.14600,0.23600,-8.68200,0.53600,-9.17800,0.66400,-9.29300,0.54800,-9.13500,0.47200,-8.73200,0.35000,-8.80800,0.51500,-9.28700,0.41600,-11.16700,0.42600,-11.34300,0.38600,-11.14400,0.42800,-11.24600,0.52100,-11.08900,0.36300,-11.06200,0.59600,-10.59900,0.53300,-10.40200,0.49300,-10.55800,0.46400,-10.52000,0.51800,-10.57200,0.45400,-8.51700,0.46500,-8.50900,0.65500,-8.48000,0.58700,-8.43400,0.62000,-8.02800,0.61100,-7.81200,0.60400,-7.62100,0.59000,-7.54800,0.84700,-7.72900,0.58700,-7.10900,0.69100,-7.00700,0.67800,-6.54400,0.95000,-6.12700,0.84000,-6.33800,0.60300,0,-9999,-9999,-9999,29175708,5.88000,2.49000
18.77500,73.77500,Pune,2,0.00020,2453.00000,0.00150,4590.00000,0.00960,23454.00000,0.07420,65670.00000,-9.21700,0.24600,-8.72800,0.54400,-9.24400,0.67400,-9.34400,0.56900,-9.18600,0.46900,-8.77700,0.37100,-8.85900,0.52400,-9.35100,0.41900,-11.23300,0.41200,-11.32800,0.39800,-11.14100,0.39500,-11.24800,0.52300,-11.08900,0.39300,-11.00300,0.63500,-10.50300,0.56600,-10.33400,0.52300,-10.51100,0.43400,-10.42400,0.51300,-10.47300,0.48800,-8.72900,0.52100,-8.63600,0.71500,-8.52700,0.60400,-8.55300,0.70100,-8.10400,0.65400,-7.76500,0.68600,-7.52700,0.65300,-7.42300,0.89000,-7.56100,0.61500,-6.93000,0.74700,-6.77000,0.70100,-6.31600,0.99900,-5.87100,0.92500,-6.02900,0.59100,0,-9999,-9999,-9999,29175708,5.36000,2.19000
18.77500,73.82500,Pune,2,0.00120,7465.00000,0.00920,26258.00000,0.02920,58281.00000,0.12880,91450.00000,-9.60400,0.31800,-8.99800,0.58500,-9.58700,0.70900,-9.59900,0.68400,-9.45800,0.46100,-9.02100,0.48800,-9.13500,0.56400,-9.65600,0.45200,-11.34000,0.40100,-11.35500,0.40100,-11.20400,0.37000,-11.28100,0.47200,-11.13400,0.40900,-11.00800,0.62600,-10.50000,0.57900,-10.35900,0.54000,-10.53700,0.39200,-10.43600,0.52200,-10.49300,0.48300,-8.89200,0.51300,-8.74300,0.75100,-8.63200,0.56800,-8.64800,0.72300,-8.23300,0.64400,-8.02000,0.70100,-7.76400,0.70500,-7.56600,0.86700,-7.72600,0.64400,-7.08900,0.79400,-6.90600,0.72800,-6.54700,1.01800,-6.08700,0.90100,-6.20700,0.59800,0,-9999,-9999,-9999,29175708,5.69000,2.26000
18.77500,73.87500,Pune,2,0.00090,34356.00000,0.00750,42865.00000,0.01880,39137.00000,0.06040,38989.00000,-9.75300,0.34400,-9.12000,0.60400,-9.72300,0.70500,-9.68900,0.71200,-9.58700,0.48100,-9.14800,0.51000,-9.26900,0.57200,-9.78800,0.48100,-11.47300,0.38200,-11.44500,0.41700,-11.37600,0.35500,-11.38500,0.42300,-11.28000,0.41200,-11.07800,0.59200,-10.63200,0.56200,-10.52100,0.53500,-10.67900,0.34200,-10.60200,0.51400,-10.65700,0.47300,-9.04600,0.49100,-8.95400,0.72300,-8.85800,0.54700,-8.90800,0.70300,-8.66200,0.61100,-8.54200,0.68200,-8.34100,0.66400,-8.09700,0.85400,-8.36600,0.64300,-7.68700,0.82600,-7.60000,0.74500,-7.34600,0.96200,-6.96800,0.77900,-6.99300,0.60100,0,-9999,-9999,-9999,29175708,7.34000,2.67000
18.77500,73.92500,Pune,0,0.00000,466.00000,0.00040,113.00000,0.00090,58.00000,0.00390,499.00000,-9.99400,0.38800,-9.31800,0.63400,-9.94200,0.69700,-9.83500,0.75700,-9.79600,0.51400,-9.35200,0.54600,-9.48700,0.58500,-10.00100,0.52800,-11.65800,0.37600,-11.59400,0.42200,-11.60500,0.38800,-11.54600,0.40100,-11.52100,0.41000,-11.23000,0.53900,-10.87600,0.50900,-10.78400,0.50300,-10.95600,0.29800,-10.91700,0.51300,-10.94500,0.46200,-9.21600,0.50600,-9.22700,0.70200,-9.12700,0.56700,-9.13500,0.70200,-9.04100,0.63000,-8.97800,0.64500,-8.75800,0.64400,-8.57400,0.80000,-8.90200,0.62400,-8.21100,0.82700,-8.20100,0.69700,-8.13200,0.89400,-7.80200,0.70200,-7.81000,0.57700,0,-9999,-9999,-9999,29175708,8.61000,3.01000
18.77500,73.97500,Pune,0,0.00000,0.00000,0.00000,0.00000,0.00010,47.00000,0.00080,212.00000,-10.17100,0.42700,-9.53600,0.68600,-10.11400,0.65400,-9.93600,0.77200,-10.00200,0.56100,-9.54700,0.57800,-9.71400,0.57000,-10.17200,0.53200,-11.86900,0.34400,-11.77200,0.41300,-11.85600,0.43500,-11.73200,0.38600,-11.83000,0.40800,-11.40700,0.49500,-11.13600,0.44800,-11.05700,0.46400,-11.25900,0.27300,-11.28900,0.53400,-11.24800,0.41200,-9.42700,0.51000,-9.55400,0.71600,-9.35800,0.58300,-9.39700,0.68900,-9.42200,0.67200,-9.47600,0.56000,-9.09100,0.63400,-8.93900,0.77400,-9.31700,0.63000,-8.62700,0.83300,-8.62700,0.71800,-8.61700,0.86400,-8.24200,0.68700,-8.31200,0.51600,0,-9999,-9999,-9999,29175708,6.79000,2.58000
18.77500,74.02500,Pune,0,0.00000,0.00000,0.00020,445.00000,0.00040,214.00000,0.00060,379.00000,-10.24200,0.44100,-9.62700,0.70600,-10.17700,0.63200,-9.97000,0.77300,-10.08200,0.57900,-9.62000,0.59400,-9.79800,0.56000,-10.23100,0.53300,-12.07100,0.31800,-11.94300,0.41200,-12.13100,0.46500,-11.93100,0.39000,-12.15900,0.42100,-11.60100,0.47400,-11.39400,0.38900,-11.32100,0.42500,-11.53100,0.25800,-11.67300,0.55900,-11.55500,0.34200,-9.64400,0.54600,-9.91500,0.72900,-9.56300,0.58700,-9.65800,0.70700,-9.71900,0.65000,-9.94900,0.56400,-9.33300,0.65900,-9.16200,0.77500,-9.70100,0.63100,-8.92600,0.85000,-8.86800,0.73000,-9.01600,0.84000,-8.59400,0.73600,-8.56200,0.50500,0,-9999,-9999,-9999,29175708,5.80000,2.30000
18.77500,74.07500,Pune,0,0.00000,0.00000,0.00000,0.00000,0.00000,143.00000,0.00010,507.00000,-10.34900,0.48400,-9.90900,0.78400,-10.30800,0.54900,-10.05500,0.77400,-10.31200,0.59700,-9.82800,0.62700,-10.03200,0.52400,-10.37400,0.49100,-12.20400,0.30400,-12.05600,0.43300,-12.32800,0.48200,-12.08100,0.38700,-12.42300,0.44100,-11.75500,0.45700,-11.58600,0.36600,-11.50900,0.39800,-11.72300,0.26300,-11.98500,0.56400,-11.78100,0.31500,-9.79200,0.56500,-10.26800,0.77700,-9.78900,0.61500,-9.78800,0.71300,-9.93100,0.69500,-10.30700,0.61900,-9.49200,0.69000,-9.38400,0.78200,-10.00900,0.58300,-9.10600,0.85900,-9.00200,0.70000,-9.32800,0.86900,-8.80500,0.78900,-8.67100,0.52800,0,-9999,-9999,-9999,29175708,6.96000,2.35000
18.77500,74.12500,Pune,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00070,138.00000,-10.35400,0.48900,-9.94900,0.78900,-10.30900,0.53600,-10.05700,0.76600,-10.33800,0.58900,-9.84400,0.63300,-10.04800,0.52300,-10.37500,0.48400,-12.28100,0.31300,-12.11400,0.43900,-12.44000,0.48600,-12.13800,0.38600,-12.61600,0.43900,-11.82900,0.45400,-11.66400,0.37200,-11.58200,0.37500,-11.80700,0.26800,-12.13100,0.59400,-11.86600,0.30100,-9.89400,0.53600,-10.40800,0.81500,-9.89500,0.63200,-9.80500,0.68000,-10.00500,0.70400,-10.41700,0.65300,-9.52200,0.70000,-9.51800,0.71600,-10.14600,0.55600,-9.19300,0.84800,-9.07100,0.67900,-9.57300,0.74300,-8.95400,0.73900,-8.70400,0.52600,0,-9999,-9999,-9999,29175708,6.80000,2.30000
18.72500,73.62500,Pune,1,0.00090,11961.00000,0.00610,14818.00000,0.01540,26449.00000,0.03310,30978.00000,-8.53300,0.20300,-8.29900,0.47400,-8.58900,0.55800,-8.82300,0.37700,-8.64700,0.48600,-8.29700,0.20700,-8.36200,0.43200,-8.65200,0.41900,-10.86200,0.32500,-11.10500,0.34700,-10.97000,0.42300,-11.01900,0.46800,-10.84500,0.35500,-10.85400,0.43500,-10.55700,0.50300,-10.36400,0.44200,-10.46000,0.40500,-10.51900,0.44100,-10.58600,0.44300,-8.28500,0.28200,-8.36800,0.47300,-8.36400,0.38800,-8.33800,0.41800,-8.00800,0.40200,-8.01900,0.38900,-7.92300,0.35600,-7.83100,0.57800,-8.00000,0.47700,-7.60300,0.43400,-7.70600,0.39600,-7.44100,0.75900,-7.15700,0.49400,-7.47900,0.46600,0,-9999,-9999,-9999,29184144,6.82000,3.00000
